"filename", "language", "TOML", "Rust", "GLSL", "JSON", "Markdown", "SCSS", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\Cargo.lock", "TOML", 1021, 0, 0, 0, 0, 0, 0, 0, 0, 2, 115, 1138
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\Cargo.toml", "TOML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 45
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\dist\index-c23e4b81ddf7cf91.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 56, 1, 6, 63
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\dist\index.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\dist\trunk-template-3a7e4a502fe0299b.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 851, 0, 15, 70, 936
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\index.html", "HTML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\index.scss", "SCSS", 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 8, 65
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\app.rs", "Rust", 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 2, 23
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\asteroid.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 58
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\bullet.json", "JSON", 0, 0, 0, 1450, 0, 0, 0, 0, 0, 0, 0, 1450
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\mod.rs", "Rust", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\ship.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 43
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\data\teste.json", "JSON", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\drawable\mod.rs", "Rust", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\drawable\object.rs", "Rust", 0, 218, 0, 0, 0, 0, 0, 0, 0, 32, 44, 294
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\entity\mod.rs", "Rust", 0, 144, 0, 0, 0, 0, 0, 0, 0, 3, 26, 173
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\game.rs", "Rust", 0, 324, 0, 0, 0, 0, 0, 0, 0, 65, 65, 454
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\mod.rs", "Rust", 0, 156, 0, 0, 0, 0, 0, 0, 0, 12, 30, 198
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Object\fragment_shader.glsl", "GLSL", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Object\vertex_shader.glsl", "GLSL", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 12, 37
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Teste\fragment.glsl", "GLSL", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\Teste\vertex.glsl", "GLSL", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\asteroid\shader\mod.rs", "Rust", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\example_request.rs", "Rust", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 14, 59
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\hook\mod.rs", "Rust", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\hook\use_framerate.rs", "Rust", 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 8, 51
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\src\main.rs", "Rust", 0, 9, 0, 0, 0, 0, 0, 0, 0, 18, 8, 35
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\.rustc_info.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\anymap2-39871a8cb5df100b\lib-anymap2.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\anymap2-513e52d02f6541b4\lib-anymap2.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\approx-8af359853a6d306c\lib-approx.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\approx-a6809df10698d21d\lib-approx.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\autocfg-45a86c9b68d9ab02\lib-autocfg.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\autocfg-4820d4fba323ebe1\lib-autocfg.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bincode-443d5d3cd95f3be7\lib-bincode.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bincode-847af3a258bb0a53\lib-bincode.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\boolinator-04ec2560aca5aa3c\lib-boolinator.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\boolinator-173f6d95b5dbb79b\lib-boolinator.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bumpalo-7772185f2c34271a\lib-bumpalo.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bumpalo-99bf777338ab057d\lib-bumpalo.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bytemuck-3ef28f8b537a9dbb\lib-bytemuck.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bytemuck-9332a7a936037e52\lib-bytemuck.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bytes-0838c61e4bcb0015\lib-bytes.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\bytes-4b3252724aeee745\lib-bytes.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\cfg-if-1290710c0f6e4dbb\lib-cfg-if.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\cfg-if-3b6701af31335e19\lib-cfg-if.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
